Ensembl_ID	Gene_symbol
ENSG00000286966	AL137800.1
ENSG00000254708	AL139174.1
ENSG00000246203	AL353807.3
ENSG00000244306	AL589743.1
ENSG00000287315	AL670729.3
ENSG00000012779	ALOX5
ENSG00000132965	ALOX5AP
ENSG00000162551	ALPL
ENSG00000133805	AMPD3
ENSG00000167772	ANGPTL4
ENSG00000029534	ANK1
ENSG00000148677	ANKRD1
ENSG00000186481	ANKRD20A5P
ENSG00000154065	ANKRD29
ENSG00000065413	ANKRD44
ENSG00000143401	ANP32E
ENSG00000166825	ANPEP
ENSG00000163297	ANTXR2
ENSG00000135046	ANXA1
ENSG00000182718	ANXA2
ENSG00000265190	ANXA8
ENSG00000283633	AP000547.3
ENSG00000263606	AP000919.1
ENSG00000255031	AP002807.1
ENSG00000152056	AP1S3
ENSG00000034053	APBA2
ENSG00000077420	APBB1IP
ENSG00000163697	APBB2
ENSG00000128383	APOBEC3A
ENSG00000179750	APOBEC3B
ENSG00000244509	APOBEC3C
ENSG00000243811	APOBEC3D
ENSG00000128394	APOBEC3F
ENSG00000239713	APOBEC3G
ENSG00000130208	APOC1
ENSG00000130203	APOE
ENSG00000100342	APOL1
ENSG00000128335	APOL2
ENSG00000128284	APOL3
ENSG00000100336	APOL4
ENSG00000221963	APOL6
ENSG00000103569	AQP9
ENSG00000071205	ARHGAP10
ENSG00000075884	ARHGAP15
ENSG00000128805	ARHGAP22
ENSG00000163219	ARHGAP25
ENSG00000137962	ARHGAP29
ENSG00000186517	ARHGAP30
ENSG00000123329	ARHGAP9
ENSG00000111348	ARHGDIB
ENSG00000104728	ARHGEF10
ENSG00000136002	ARHGEF4
ENSG00000188042	ARL4C
ENSG00000029153	ARNTL2
ENSG00000141480	ARRB2
ENSG00000113369	ARRDC3
ENSG00000205784	ARRDC5
ENSG00000180801	ARSJ
ENSG00000213199	ASIC3
ENSG00000220517	ASS1P1
ENSG00000162772	ATF3
ENSG00000169136	ATF5
ENSG00000181652	ATG9B
ENSG00000104043	ATP8B4
ENSG00000213033	AURKAP1
ENSG00000166148	AVPR1A
ENSG00000142920	AZIN2
ENSG00000166710	B2M
ENSG00000169255	B3GALNT1
ENSG00000183778	B3GALT5
ENSG00000156966	B3GNT7
ENSG00000112208	BAG2
ENSG00000151929	BAG3
ENSG00000175866	BAIAP2
ENSG00000153064	BANK1
ENSG00000043039	BARX2
ENSG00000137936	BCAR3
ENSG00000171791	BCL2
ENSG00000140379	BCL2A1
ENSG00000171552	BCL2L1
ENSG00000153094	BCL2L11
ENSG00000134107	BHLHE40
ENSG00000110934	BIN2
ENSG00000023445	BIRC3
ENSG00000136573	BLK
ENSG00000106605	BLVRA
ENSG00000251079	BMS1P2
ENSG00000104765	BNIP3L
ENSG00000109743	BST1
ENSG00000130303	BST2
ENSG00000124508	BTN2A2
ENSG00000124549	BTN2A3P
ENSG00000026950	BTN3A1
ENSG00000186470	BTN3A2
ENSG00000111801	BTN3A3
ENSG00000111678	C12orf57
ENSG00000205710	C17orf107
ENSG00000143110	C1orf162
ENSG00000118292	C1orf54
ENSG00000173372	C1QA
ENSG00000173369	C1QB
ENSG00000159189	C1QC
ENSG00000171860	C3AR1
ENSG00000123843	C4BPB
ENSG00000205129	C4orf47
ENSG00000197405	C5AR1
ENSG00000178776	C5orf46
ENSG00000204542	C6orf15
ENSG00000134508	CABLES1
ENSG00000151062	CACNA2D4
ENSG00000067191	CACNB1
ENSG00000104327	CALB1
ENSG00000172137	CALB2
ENSG00000188820	CALHM6
ENSG00000128595	CALU
ENSG00000042493	CAPG
ENSG00000110888	CAPRIN2
ENSG00000137752	CASP1
ENSG00000196954	CASP4
ENSG00000087589	CASS4
ENSG00000105971	CAV2
ENSG00000274276	CBSL
ENSG00000150636	CCDC102B
ENSG00000163492	CCDC141
ENSG00000170160	CCDC144A
ENSG00000100557	CCDC198
ENSG00000152492	CCDC50
ENSG00000166510	CCDC68
ENSG00000115355	CCDC88A
ENSG00000181374	CCL13
ENSG00000275385	CCL18
ENSG00000172724	CCL19
ENSG00000277632	CCL3
ENSG00000276085	CCL3L3
ENSG00000275302	CCL4
ENSG00000271503	CCL5
ENSG00000110092	CCND1
ENSG00000121807	CCR2
ENSG00000183813	CCR4
ENSG00000160791	CCR5
ENSG00000126353	CCR7
ENSG00000170458	CD14
ENSG00000177575	CD163
ENSG00000177455	CD19
ENSG00000116824	CD2
ENSG00000091972	CD200
ENSG00000090659	CD209
ENSG00000012124	CD22
ENSG00000150637	CD226
ENSG00000198821	CD247
ENSG00000139193	CD27
ENSG00000120217	CD274
ENSG00000178562	CD28
ENSG00000186407	CD300E
ENSG00000186074	CD300LF
ENSG00000104894	CD37
ENSG00000004468	CD38
ENSG00000167286	CD3D
ENSG00000198851	CD3E
ENSG00000160654	CD3G
ENSG00000010610	CD4
ENSG00000101017	CD40
ENSG00000117091	CD48
ENSG00000169442	CD52
ENSG00000143119	CD53
ENSG00000196352	CD55
ENSG00000085063	CD59
ENSG00000013725	CD6
ENSG00000129226	CD68
ENSG00000110848	CD69
ENSG00000137101	CD72
ENSG00000019582	CD74
ENSG00000105369	CD79A
ENSG00000007312	CD79B
ENSG00000121594	CD80
ENSG00000085117	CD82
ENSG00000112149	CD83
ENSG00000066294	CD84
ENSG00000114013	CD86
ENSG00000153563	CD8A
ENSG00000153283	CD96
ENSG00000158825	CDA
ENSG00000100490	CDKL1
ENSG00000124762	CDKN1A
ENSG00000129757	CDKN1C
ENSG00000147889	CDKN2A
ENSG00000109089	CDR2L
ENSG00000241322	CDRT1
ENSG00000166446	CDYL2
ENSG00000170956	CEACAM3
ENSG00000172216	CEBPB
ENSG00000221869	CEBPD
ENSG00000048740	CELF2
ENSG00000143702	CEP170
ENSG00000111860	CEP85L
ENSG00000105792	CFAP69
ENSG00000197766	CFD
ENSG00000164430	CGAS
ENSG00000133048	CHI3L1
ENSG00000123989	CHPF
ENSG00000166664	CHRFAM7A
ENSG00000170175	CHRNB1
ENSG00000171310	CHST11
ENSG00000182022	CHST15
ENSG00000175040	CHST2
ENSG00000183196	CHST6
ENSG00000179583	CIITA
ENSG00000164442	CITED2
ENSG00000136026	CKAP4
ENSG00000105205	CLC
ENSG00000172322	CLEC12A
ENSG00000187912	CLEC17A
ENSG00000110852	CLEC2B
ENSG00000069493	CLEC2D
ENSG00000166523	CLEC4E
ENSG00000258227	CLEC5A
ENSG00000172243	CLEC7A
ENSG00000070371	CLTCL1
ENSG00000174600	CMKLR1
ENSG00000134326	CMPK2
ENSG00000153551	CMTM7
ENSG00000197467	COL13A1
ENSG00000206384	COL6A6
ENSG00000198756	COLGALT2
ENSG00000102879	CORO1A
ENSG00000103187	COTL1
ENSG00000047457	CP
ENSG00000124772	CPNE5
ENSG00000021826	CPS1
ENSG00000106066	CPVL
ENSG00000203710	CR1
ENSG00000117322	CR2
ENSG00000146592	CREB5
ENSG00000213145	CRIP1
ENSG00000184371	CSF1
ENSG00000100368	CSF2RB
ENSG00000119535	CSF3R
ENSG00000144655	CSRNP1
ENSG00000077984	CST7
ENSG00000121552	CSTA
ENSG00000271321	CTAGE6
ENSG00000163599	CTLA4
ENSG00000164733	CTSB
ENSG00000109861	CTSC
ENSG00000117984	CTSD
ENSG00000135047	CTSL
ENSG00000172543	CTSW
ENSG00000163739	CXCL1
ENSG00000169245	CXCL10
ENSG00000169248	CXCL11
ENSG00000156234	CXCL13
ENSG00000081041	CXCL2
ENSG00000163734	CXCL3
ENSG00000163735	CXCL5
ENSG00000124875	CXCL6
ENSG00000169429	CXCL8
ENSG00000138755	CXCL9
ENSG00000163464	CXCR1
ENSG00000180871	CXCR2
ENSG00000121966	CXCR4
ENSG00000166394	CYB5R2
ENSG00000019186	CYP24A1
ENSG00000003137	CYP26B1
ENSG00000100055	CYTH4
ENSG00000115165	CYTIP
ENSG00000196730	DAPK1
ENSG00000070190	DAPP1
ENSG00000057019	DCBLD2
ENSG00000188215	DCUN1D3
ENSG00000175197	DDIT3
ENSG00000168209	DDIT4
ENSG00000107201	DDX58
ENSG00000137628	DDX60
ENSG00000181381	DDX60L
ENSG00000143753	DEGS1
ENSG00000205744	DENND1C
ENSG00000065357	DGKA
ENSG00000073737	DHRS9
ENSG00000108771	DHX58
ENSG00000107984	DKK1
ENSG00000161249	DMKN
ENSG00000187775	DNAH17
ENSG00000183914	DNAH2
ENSG00000162616	DNAJB4
ENSG00000147570	DNAJC5B
ENSG00000187957	DNER
ENSG00000272636	DOC2B
ENSG00000135905	DOCK10
ENSG00000134516	DOCK2
ENSG00000128512	DOCK4
ENSG00000107099	DOCK8
ENSG00000147443	DOK2
ENSG00000167261	DPEP2
ENSG00000188641	DPYD
ENSG00000092964	DPYSL2
ENSG00000136048	DRAM1
ENSG00000134757	DSG3
ENSG00000197057	DTHD1
ENSG00000137857	DUOX1
ENSG00000143507	DUSP10
ENSG00000158050	DUSP2
ENSG00000120875	DUSP4
ENSG00000138166	DUSP5
ENSG00000139318	DUSP6
ENSG00000010219	DYRK4
ENSG00000135960	EDAR
ENSG00000184349	EFNA5
ENSG00000120738	EGR1
ENSG00000179388	EGR3
ENSG00000173442	EHBP1L1
ENSG00000166897	ELFN2
ENSG00000111145	ELK3
ENSG00000118985	ELL2
ENSG00000155849	ELMO1
ENSG00000170571	EMB
ENSG00000132205	EMILIN2
ENSG00000134531	EMP1
ENSG00000111674	ENO2
ENSG00000163508	EOMES
ENSG00000082397	EPB41L3
ENSG00000142627	EPHA2
ENSG00000106123	EPHB6
ENSG00000131037	EPS8L1
ENSG00000133106	EPSTI1
ENSG00000136541	ERMN
ENSG00000116285	ERRFI1
ENSG00000213462	ERV3-1
ENSG00000265992	ESRG
ENSG00000134954	ETS1
ENSG00000244405	ETV5
ENSG00000010030	ETV7
ENSG00000126860	EVI2A
ENSG00000185862	EVI2B
ENSG00000117525	F3
ENSG00000221968	FADS3
ENSG00000065809	FAM107B
ENSG00000159784	FAM131B
ENSG00000230562	FAM133DP
ENSG00000233013	FAM157B
ENSG00000226777	FAM30A
ENSG00000196937	FAM3C
ENSG00000203780	FANK1
ENSG00000026103	FAS
ENSG00000116661	FBXO2
ENSG00000116663	FBXO6
ENSG00000186431	FCAR
ENSG00000158869	FCER1G
ENSG00000150337	FCGR1A
ENSG00000198019	FCGR1B
ENSG00000265531	FCGR1CP
ENSG00000143226	FCGR2A
ENSG00000072694	FCGR2B
ENSG00000244682	FCGR2C
ENSG00000203747	FCGR3A
ENSG00000162747	FCGR3B
ENSG00000162894	FCMR
ENSG00000085265	FCN1
ENSG00000163534	FCRL1
ENSG00000132704	FCRL2
ENSG00000160856	FCRL3
ENSG00000143297	FCRL5
ENSG00000088340	FER1L4
ENSG00000149781	FERMT3
ENSG00000126262	FFAR2
ENSG00000146192	FGD2
ENSG00000127084	FGD3
ENSG00000127951	FGL2
ENSG00000000938	FGR
ENSG00000142621	FHAD1
ENSG00000179431	FJX1
ENSG00000088832	FKBP1A
ENSG00000151702	FLI1
ENSG00000102755	FLT1
ENSG00000119686	FLVCR2
ENSG00000184922	FMNL1
ENSG00000165457	FOLR2
ENSG00000170345	FOS
ENSG00000175592	FOSL1
ENSG00000054598	FOXC1
ENSG00000251493	FOXD1
ENSG00000129654	FOXJ1
ENSG00000176678	FOXL1
ENSG00000150907	FOXO1
ENSG00000171051	FPR1
ENSG00000171049	FPR2
ENSG00000187474	FPR3
ENSG00000138759	FRAS1
ENSG00000171877	FRMD5
ENSG00000075618	FSCN1
ENSG00000242960	FTH1P23
ENSG00000140564	FURIN
ENSG00000033170	FUT8
ENSG00000082074	FYB1
ENSG00000010810	FYN
ENSG00000171298	GAA
ENSG00000094755	GABRP
ENSG00000116717	GADD45A
ENSG00000099860	GADD45B
ENSG00000054983	GALC
ENSG00000183087	GAS6
ENSG00000179348	GATA2
ENSG00000107485	GATA3
ENSG00000117228	GBP1
ENSG00000225492	GBP1P1
ENSG00000162645	GBP2
ENSG00000162654	GBP4
ENSG00000154451	GBP5
ENSG00000084734	GCKR
ENSG00000176928	GCNT4
ENSG00000162676	GFI1
ENSG00000204136	GGTA1P
ENSG00000281887	GIMAP1-GIMAP5
ENSG00000133574	GIMAP4
ENSG00000196329	GIMAP5
ENSG00000133561	GIMAP6
ENSG00000179144	GIMAP7
ENSG00000171115	GIMAP8
ENSG00000165474	GJB2
ENSG00000188910	GJB3
ENSG00000189433	GJB4
ENSG00000139278	GLIPR1
ENSG00000122694	GLIPR2
ENSG00000135821	GLUL
ENSG00000130755	GMFG
ENSG00000060558	GNA15
ENSG00000115523	GNLY
ENSG00000138678	GPAT3
ENSG00000136235	GPNMB
ENSG00000174946	GPR171
ENSG00000169508	GPR183
ENSG00000023171	GRAMD1B
ENSG00000100351	GRAP2
ENSG00000106070	GRB10
ENSG00000134317	GRHL1
ENSG00000186088	GSAP
ENSG00000134184	GSTM1
ENSG00000228315	GUSBP11
ENSG00000254838	GVINP1
ENSG00000145649	GZMA
ENSG00000100453	GZMB
ENSG00000100450	GZMH
ENSG00000113088	GZMK
ENSG00000234571	H2BP2
ENSG00000181201	H2BU2P
ENSG00000165996	HACD1
ENSG00000140511	HAPLN3
ENSG00000170961	HAS2
ENSG00000135077	HAVCR2
ENSG00000206172	HBA1
ENSG00000188536	HBA2
ENSG00000244734	HBB
ENSG00000113070	HBEGF
ENSG00000182782	HCAR2
ENSG00000255398	HCAR3
ENSG00000101336	HCK
ENSG00000180353	HCLS1
ENSG00000130589	HELZ2
ENSG00000181333	HEPHL1
ENSG00000276550	HERC2P2
ENSG00000138646	HERC5
ENSG00000138642	HERC6
ENSG00000188290	HES4
ENSG00000186834	HEXIM1
ENSG00000010704	HFE
ENSG00000100644	HIF1A
ENSG00000127124	HIVEP3
ENSG00000160883	HK3
ENSG00000206503	HLA-A
ENSG00000234745	HLA-B
ENSG00000204525	HLA-C
ENSG00000204257	HLA-DMA
ENSG00000242574	HLA-DMB
ENSG00000204252	HLA-DOA
ENSG00000241106	HLA-DOB
ENSG00000231389	HLA-DPA1
ENSG00000223865	HLA-DPB1
ENSG00000196735	HLA-DQA1
ENSG00000237541	HLA-DQA2
ENSG00000179344	HLA-DQB1
ENSG00000232629	HLA-DQB2
ENSG00000204287	HLA-DRA
ENSG00000196126	HLA-DRB1
ENSG00000198502	HLA-DRB5
ENSG00000229391	HLA-DRB6
ENSG00000204592	HLA-E
ENSG00000204642	HLA-F
ENSG00000204632	HLA-G
ENSG00000204622	HLA-J
ENSG00000230795	HLA-K
ENSG00000243753	HLA-L
ENSG00000149948	HMGA2
ENSG00000250011	HMGB1P3
ENSG00000258967	HMGN1P3
ENSG00000118418	HMGN3
ENSG00000100292	HMOX1
ENSG00000228168	HNRNPA1P21
ENSG00000213412	HNRNPA1P33
ENSG00000198353	HOXC4
ENSG00000197757	HOXC6
ENSG00000173083	HPSE
ENSG00000113749	HRH2
ENSG00000122254	HS3ST2
ENSG00000153976	HS3ST3A1
ENSG00000117594	HSD11B1
ENSG00000087076	HSD17B14
ENSG00000196684	HSH2D
ENSG00000173110	HSPA6
ENSG00000225217	HSPA7
ENSG00000106211	HSPB1
ENSG00000251348	HSPD1P11
ENSG00000122986	HVCN1
ENSG00000242028	HYPK
ENSG00000029559	IBSP
ENSG00000090339	ICAM1
ENSG00000163600	ICOS
ENSG00000117318	ID3
ENSG00000131203	IDO1
ENSG00000162783	IER5
ENSG00000188483	IER5L
ENSG00000169991	IFFO2
ENSG00000163565	IFI16
ENSG00000165949	IFI27
ENSG00000216490	IFI30
ENSG00000068079	IFI35
ENSG00000137965	IFI44
ENSG00000137959	IFI44L
ENSG00000126709	IFI6
ENSG00000115267	IFIH1
ENSG00000185745	IFIT1
ENSG00000119922	IFIT2
ENSG00000119917	IFIT3
ENSG00000152778	IFIT5
ENSG00000244242	IFITM10
ENSG00000185201	IFITM2
ENSG00000142089	IFITM3
ENSG00000184995	IFNE
ENSG00000136231	IGF2BP3
ENSG00000204866	IGFL2
ENSG00000211895	IGHA1
ENSG00000211898	IGHD
ENSG00000211896	IGHG1
ENSG00000211893	IGHG2
ENSG00000211897	IGHG3
ENSG00000211892	IGHG4
ENSG00000253755	IGHGP
ENSG00000211899	IGHM
ENSG00000211945	IGHV1-18
ENSG00000211934	IGHV1-2
ENSG00000211950	IGHV1-24
ENSG00000211935	IGHV1-3
ENSG00000211962	IGHV1-46
ENSG00000211968	IGHV1-58
ENSG00000211973	IGHV1-69
ENSG00000280411	IGHV1-69D
ENSG00000211951	IGHV2-26
ENSG00000211937	IGHV2-5
ENSG00000274576	IGHV2-70
ENSG00000211974	IGHV2-70D
ENSG00000211941	IGHV3-11
ENSG00000211942	IGHV3-13
ENSG00000211943	IGHV3-15
ENSG00000211946	IGHV3-20
ENSG00000211947	IGHV3-21
ENSG00000211949	IGHV3-23
ENSG00000270550	IGHV3-30
ENSG00000211955	IGHV3-33
ENSG00000232216	IGHV3-43
ENSG00000211964	IGHV3-48
ENSG00000211965	IGHV3-49
ENSG00000211967	IGHV3-53
ENSG00000223648	IGHV3-64
ENSG00000211972	IGHV3-66
ENSG00000282600	IGHV3-69-1
ENSG00000211938	IGHV3-7
ENSG00000225698	IGHV3-72
ENSG00000211976	IGHV3-73
ENSG00000224650	IGHV3-74
ENSG00000211952	IGHV4-28
ENSG00000231475	IGHV4-31
ENSG00000211956	IGHV4-34
ENSG00000211959	IGHV4-39
ENSG00000254395	IGHV4-55
ENSG00000224373	IGHV4-59
ENSG00000211970	IGHV4-61
ENSG00000211966	IGHV5-51
ENSG00000211592	IGKC
ENSG00000243290	IGKV1-12
ENSG00000240864	IGKV1-16
ENSG00000240382	IGKV1-17
ENSG00000244575	IGKV1-27
ENSG00000242076	IGKV1-33
ENSG00000243466	IGKV1-5
ENSG00000239855	IGKV1-6
ENSG00000240671	IGKV1-8
ENSG00000241755	IGKV1-9
ENSG00000276566	IGKV1D-13
ENSG00000241244	IGKV1D-16
ENSG00000251546	IGKV1D-39
ENSG00000239819	IGKV1D-8
ENSG00000156755	IGKV1OR-2
ENSG00000241294	IGKV2-24
ENSG00000244116	IGKV2-28
ENSG00000243238	IGKV2-30
ENSG00000273962	IGKV2-40
ENSG00000242534	IGKV2D-28
ENSG00000243264	IGKV2D-29
ENSG00000241351	IGKV3-11
ENSG00000244437	IGKV3-15
ENSG00000239951	IGKV3-20
ENSG00000211632	IGKV3D-11
ENSG00000224041	IGKV3D-15
ENSG00000211625	IGKV3D-20
ENSG00000211598	IGKV4-1
ENSG00000225523	IGKV6D-21
ENSG00000211675	IGLC1
ENSG00000211677	IGLC2
ENSG00000211679	IGLC3
ENSG00000211685	IGLC7
ENSG00000254709	IGLL5
ENSG00000211655	IGLV1-36
ENSG00000211653	IGLV1-40
ENSG00000211651	IGLV1-44
ENSG00000211648	IGLV1-47
ENSG00000211644	IGLV1-51
ENSG00000211668	IGLV2-11
ENSG00000211666	IGLV2-14
ENSG00000211664	IGLV2-18
ENSG00000211660	IGLV2-23
ENSG00000278196	IGLV2-8
ENSG00000211673	IGLV3-1
ENSG00000211669	IGLV3-10
ENSG00000211663	IGLV3-19
ENSG00000211662	IGLV3-21
ENSG00000211659	IGLV3-25
ENSG00000211658	IGLV3-27
ENSG00000211670	IGLV3-9
ENSG00000211650	IGLV5-45
ENSG00000211640	IGLV6-57
ENSG00000211638	IGLV8-61
ENSG00000140749	IGSF6
ENSG00000080854	IGSF9B
ENSG00000166130	IKBIP
ENSG00000185811	IKZF1
ENSG00000030419	IKZF2
ENSG00000161405	IKZF3
ENSG00000110324	IL10RA
ENSG00000096996	IL12RB1
ENSG00000081985	IL12RB2
ENSG00000172349	IL16
ENSG00000115604	IL18R1
ENSG00000115607	IL18RAP
ENSG00000115008	IL1A
ENSG00000125538	IL1B
ENSG00000115590	IL1R2
ENSG00000196083	IL1RAP
ENSG00000136689	IL1RN
ENSG00000103522	IL21R
ENSG00000162892	IL24
ENSG00000134460	IL2RA
ENSG00000100385	IL2RB
ENSG00000104951	IL4I1
ENSG00000136244	IL6
ENSG00000160712	IL6R
ENSG00000168685	IL7R
ENSG00000109452	INPP4B
ENSG00000114473	IQCG
ENSG00000134070	IRAK2
ENSG00000125347	IRF1
ENSG00000119669	IRF2BPL
ENSG00000137265	IRF4
ENSG00000185507	IRF7
ENSG00000213928	IRF9
ENSG00000169047	IRS1
ENSG00000187608	ISG15
ENSG00000172183	ISG20
ENSG00000005884	ITGA3
ENSG00000115232	ITGA4
ENSG00000156886	ITGAD
ENSG00000083457	ITGAE
ENSG00000005844	ITGAL
ENSG00000169896	ITGAM
ENSG00000140678	ITGAX
ENSG00000160255	ITGB2
ENSG00000139626	ITGB7
ENSG00000055955	ITIH4
ENSG00000113263	ITK
ENSG00000143772	ITPKB
ENSG00000148841	ITPRIP
ENSG00000101384	JAG1
ENSG00000096968	JAK2
ENSG00000105639	JAK3
ENSG00000152969	JAKMIP1
ENSG00000160593	JAML
ENSG00000171223	JUNB
ENSG00000132854	KANK4
ENSG00000177272	KCNA3
ENSG00000157551	KCNJ15
ENSG00000184156	KCNQ3
ENSG00000135253	KCP
ENSG00000134504	KCTD1
ENSG00000153885	KCTD15
ENSG00000132510	KDM6B
ENSG00000235750	KIAA0040
ENSG00000164542	KIAA0895
ENSG00000110427	KIAA1549L
ENSG00000155090	KLF10
ENSG00000127528	KLF2
ENSG00000067082	KLF6
ENSG00000118263	KLF7
ENSG00000172578	KLHL6
ENSG00000129451	KLK10
ENSG00000167757	KLK11
ENSG00000167755	KLK6
ENSG00000169035	KLK7
ENSG00000129455	KLK8
ENSG00000134545	KLRC1
ENSG00000205809	KLRC2
ENSG00000205810	KLRC3
ENSG00000255819	KLRC4-KLRK1
ENSG00000134539	KLRD1
ENSG00000213809	KLRK1
ENSG00000117009	KMO
ENSG00000266820	KPNA2P3
ENSG00000186832	KRT16
ENSG00000128422	KRT17
ENSG00000186081	KRT5
ENSG00000205420	KRT6A
ENSG00000185479	KRT6B
ENSG00000135480	KRT7
ENSG00000167767	KRT80
ENSG00000205426	KRT81
ENSG00000250539	KRT8P33
ENSG00000248971	KRT8P46
ENSG00000171097	KYAT1
ENSG00000115919	KYNU
ENSG00000198945	L3MBTL3
ENSG00000089692	LAG3
ENSG00000167613	LAIR1
ENSG00000053747	LAMA3
ENSG00000130702	LAMA5
ENSG00000196878	LAMB3
ENSG00000058085	LAMC2
ENSG00000078081	LAMP3
ENSG00000002549	LAP3
ENSG00000162511	LAPTM5
ENSG00000122188	LAX1
ENSG00000182866	LCK
ENSG00000136167	LCP1
ENSG00000043462	LCP2
ENSG00000186007	LEMD1
ENSG00000165046	LETM2
ENSG00000104974	LILRA1
ENSG00000239998	LILRA2
ENSG00000187116	LILRA5
ENSG00000104972	LILRB1
ENSG00000131042	LILRB2
ENSG00000204577	LILRB3
ENSG00000186818	LILRB4
ENSG00000105609	LILRB5
ENSG00000136490	LIMD2
ENSG00000242759	LINC00882
ENSG00000100258	LMF2
ENSG00000143013	LMO4
ENSG00000153395	LPCAT1
ENSG00000110031	LPXN
ENSG00000118308	LRMP
ENSG00000230069	LRRC37A15P
ENSG00000136802	LRRC8A
ENSG00000171488	LRRC8C
ENSG00000130592	LSP1
ENSG00000204482	LST1
ENSG00000227507	LTB
ENSG00000160932	LY6E
ENSG00000122224	LY9
ENSG00000154589	LY96
ENSG00000124466	LYPD3
ENSG00000090382	LYZ
ENSG00000116670	MAD2L2
ENSG00000204103	MAFB
ENSG00000142733	MAP3K6
ENSG00000107968	MAP3K8
ENSG00000104814	MAP4K1
ENSG00000188130	MAPK12
ENSG00000181085	MAPK15
ENSG00000145416	MARCHF1
ENSG00000019169	MARCO
ENSG00000007264	MATK
ENSG00000183019	MCEMP1
ENSG00000225663	MCRIP1
ENSG00000005059	MCUB
ENSG00000112559	MDFI
ENSG00000103313	MEFV
ENSG00000162591	MEGF6
ENSG00000163975	MELTF
ENSG00000261857	MIA
ENSG00000204516	MICB
ENSG00000196611	MMP1
ENSG00000166670	MMP10
ENSG00000271447	MMP28
ENSG00000137673	MMP7
ENSG00000163563	MNDA
ENSG00000075643	MOCOS
ENSG00000197629	MPEG1
ENSG00000156738	MS4A1
ENSG00000166928	MS4A14
ENSG00000110079	MS4A4A
ENSG00000110077	MS4A6A
ENSG00000166927	MS4A7
ENSG00000102854	MSLN
ENSG00000038945	MSR1
ENSG00000169715	MT1E
ENSG00000260549	MT1L
ENSG00000205364	MT1M
ENSG00000187193	MT1X
ENSG00000125148	MT2A
ENSG00000117791	MTARC2
ENSG00000168502	MTCL1
ENSG00000185499	MUC1
ENSG00000181143	MUC16
ENSG00000215182	MUC5AC
ENSG00000184956	MUC6
ENSG00000168631	MUCL3
ENSG00000157601	MX1
ENSG00000183486	MX2
ENSG00000059728	MXD1
ENSG00000172927	MYEOV
ENSG00000144821	MYH15
ENSG00000142347	MYO1F
ENSG00000136286	MYO1G
ENSG00000095777	MYO3A
ENSG00000138119	MYOF
ENSG00000124920	MYRF
ENSG00000170476	MZB1
ENSG00000161653	NAGS
ENSG00000179978	NAIPP2
ENSG00000131401	NAPSB
ENSG00000158517	NCF1
ENSG00000182487	NCF1B
ENSG00000165178	NCF1C
ENSG00000116701	NCF2
ENSG00000100365	NCF4
ENSG00000123338	NCKAP1L
ENSG00000245532	NEAT1
ENSG00000111859	NEDD9
ENSG00000184613	NELL2
ENSG00000235568	NFAM1
ENSG00000131196	NFATC1
ENSG00000100906	NFKBIA
